Total_Spending,Meat,Catalog,Wines,Income,Store,Web,Fish,Fruits,Sweets,Gold,Children,Parental_Status,NumWebVisitsMonth,Discount_Purchases,cluster
1617.0,546,10,635,58138.0,4,8,120.5,81,81,88.0,0,0,7,3,0
27.0,6,1,11,46344.0,2,1,2.0,1,1,6.0,2,1,5,2,2
776.0,127,2,426,71613.0,10,8,111.0,49,21,42.0,0,0,4,1,0
53.0,20,0,11,26646.0,4,2,10.0,4,3,5.0,1,1,6,2,2
422.0,118,3,173,58293.0,6,5,46.0,43,27,15.0,1,1,5,5,1
716.0,98,4,520,62513.0,10,6,0.0,42,42,14.0,1,1,6,2,1
590.0,164,3,235,55635.0,7,7,50.0,65,49,27.0,1,1,6,4,1
169.0,56,0,76,33454.0,4,4,3.0,10,1,23.0,1,1,8,2,2
46.0,24,0,14,30351.0,2,3,3.0,0,3,2.0,1,1,9,1,2
49.0,6,0,28,5648.0,0,1,1.0,0,1,13.0,2,1,20,1,2
19.0,6,0,5,51381.5,2,1,0.0,5,2,1.0,1,1,7,1,2
61.0,11,0,6,7500.0,3,2,11.0,16,1,16.0,0,0,8,1,2
1102.0,480,4,194,63033.0,8,3,120.5,61,81,30.0,0,0,2,1,0
310.0,53,1,233,59354.0,5,6,3.0,2,5,14.0,2,1,6,3,1
46.0,17,0,3,17323.0,3,1,6.0,14,1,5.0,0,0,8,1,2
1315.0,115,6,1006,82800.0,12,7,59.0,22,68,45.0,0,0,3,1,0
96.0,19,0,53,41850.0,3,3,2.0,5,13,4.0,2,1,8,3,2
317.0,38,1,84,37760.0,6,4,120.5,5,12,28.0,0,0,7,2,1
1782.0,498,4,1012,76995.0,9,11,0.0,80,16,126.5,1,1,5,2,1
133.0,19,1,4,33812.0,3,2,30.0,17,24,39.0,1,1,6,2,2
316.0,73,2,86,37040.0,5,4,69.0,2,38,48.0,0,0,8,1,1
1730.0,556,28,1,2447.0,0,0,1.0,1,1,1.0,1,1,1,15,1
972.0,86,3,867,58607.0,9,2,0.0,0,0,19.0,1,1,8,3,1
544.0,102,2,384,65324.0,9,6,21.0,0,32,5.0,1,1,4,3,1
444.0,27,1,270,40689.0,5,7,39.0,3,6,99.0,1,1,8,7,1
75.0,25,1,6,18589.0,3,2,15.0,4,12,13.0,0,0,7,2,2
257.0,30,1,173,53359.0,4,5,3.0,4,6,41.0,2,1,7,4,1
637.0,3,0,5,51381.5,0,27,3.0,1,81,126.5,1,1,1,0,1
131.0,42,1,36,38360.0,4,2,20.0,2,21,10.0,1,1,3,2,2
1672.0,556,9,684,84618.0,10,6,21.0,81,66,0.0,0,0,2,1,0
30.0,10,0,8,10979.0,3,3,2.0,4,2,4.0,0,0,5,2,2
318.0,44,5,112,38620.0,3,2,34.0,17,22,89.0,0,0,3,1,0
120.0,5,1,110,40548.0,4,2,2.0,0,0,3.0,1,1,5,2,2
302.0,96,1,96,46610.0,6,4,33.0,12,22,43.0,2,1,6,6,1
1196.0,471,5,482,68657.0,9,3,119.0,34,68,22.0,0,0,7,1,0
65.0,19,0,40,49389.0,3,2,2.0,0,1,3.0,2,1,7,1,2
913.0,151,6,702,67353.0,12,5,0.0,17,8,35.0,1,1,2,5,1
81.0,14,1,6,23718.0,2,3,15.0,3,7,36.0,1,1,7,3,2
67.0,6,1,55,42429.0,3,1,2.0,0,0,4.0,1,1,5,2,2
902.0,206,10,437,48948.0,5,7,120.5,8,49,42.0,0,0,6,2,0
1395.0,536,6,421,80011.0,5,8,82.0,76,81,102.0,1,1,4,2,0
53.0,29,0,13,20559.0,3,2,3.0,1,0,7.0,1,1,8,2,2
22.0,6,0,9,21994.0,3,0,3.0,0,1,3.0,1,1,5,1,2
186.0,50,3,81,51381.5,4,1,3.0,11,2,39.0,0,0,2,1,2
31.0,10,0,3,7500.0,3,2,3.0,1,2,12.0,1,1,5,3,2
984.0,266,4,123,79941.0,9,2,120.5,81,30,126.5,0,0,1,1,0
122.0,14,1,3,7500.0,3,3,15.0,18,22,50.0,0,0,9,3,2
55.0,15,0,13,41728.0,2,2,3.0,6,5,13.0,1,1,10,1,2
124.0,48,1,48,51381.5,4,2,6.0,5,10,7.0,3,1,6,3,2
1319.0,317,2,826,72550.0,12,5,50.0,50,38,38.0,2,1,8,9,1
507.0,125,2,245,65486.0,10,4,37.0,19,67,14.0,1,1,2,1,0
1693.0,556,9,650,79143.0,13,6,27.0,37,81,32.0,0,0,3,1,0
72.0,20,0,12,35790.0,3,2,30.0,6,1,3.0,1,1,7,2,2
1617.0,550,9,510,82582.0,7,4,120.5,81,40,126.5,0,0,1,1,0
606.0,124,2,328,66373.0,10,4,12.0,9,24,109.0,2,1,3,7,1
1957.0,432,10,984,82384.0,13,3,120.5,51,81,126.5,0,0,1,1,0
1093.0,482,5,295,70287.0,10,5,120.5,35,81,40.0,0,0,3,1,0
29.0,8,0,13,27938.0,4,1,2.0,0,1,5.0,1,1,3,1,2
46.0,22,0,11,51381.5,3,2,2.0,3,2,6.0,1,1,6,2,2
518.0,28,2,447,55954.0,6,8,0.0,0,0,43.0,1,1,7,3,1
1438.0,538,6,712,75777.0,11,3,69.0,26,13,80.0,0,0,1,1,0
612.0,102,2,452,66653.0,12,4,16.0,18,18,6.0,2,1,3,4,1
